time,open,high,low,close,tick_volume,spread,real_volume
2026-02-13 15:37:00,1.18696,1.1872099999999999,1.18683,1.18702,172,0,0
2026-02-13 15:38:00,1.18703,1.18716,1.18698,1.18708,160,0,0
2026-02-13 15:39:00,1.18708,1.18744,1.1868400000000001,1.1868400000000001,179,0,0
2026-02-13 15:40:00,1.1868400000000001,1.18707,1.18676,1.18697,180,0,0
2026-02-13 15:41:00,1.18697,1.18708,1.18683,1.18685,167,0,0
2026-02-13 15:42:00,1.18683,1.18695,1.18672,1.18672,171,0,0
2026-02-13 15:43:00,1.18673,1.1872099999999999,1.18667,1.18717,140,0,0
2026-02-13 15:44:00,1.18716,1.18725,1.1863299999999999,1.18648,173,0,0
2026-02-13 15:45:00,1.18643,1.18645,1.18592,1.18613,152,0,0
2026-02-13 15:46:00,1.18613,1.18663,1.18613,1.1865999999999999,166,0,0
2026-02-13 15:47:00,1.1865999999999999,1.18662,1.1863299999999999,1.18648,146,0,0
2026-02-13 15:48:00,1.18647,1.18676,1.1863299999999999,1.18665,144,0,0
2026-02-13 15:49:00,1.18665,1.18685,1.18665,1.18676,102,0,0
2026-02-13 15:50:00,1.18676,1.18695,1.18671,1.18679,87,0,0
2026-02-13 15:51:00,1.18679,1.18679,1.18655,1.1867,92,0,0
2026-02-13 15:52:00,1.18671,1.18689,1.18661,1.1868400000000001,89,0,0
2026-02-13 15:53:00,1.1868400000000001,1.18733,1.18678,1.18726,106,0,0
2026-02-13 15:54:00,1.18728,1.1874500000000001,1.18727,1.18732,109,0,0
2026-02-13 15:55:00,1.18732,1.1875499999999999,1.18731,1.1875499999999999,94,0,0
2026-02-13 15:56:00,1.1875499999999999,1.1878199999999999,1.18752,1.1878199999999999,107,0,0
2026-02-13 15:57:00,1.1878199999999999,1.18796,1.1877,1.1877,83,0,0
2026-02-13 15:58:00,1.18771,1.18771,1.18744,1.18748,132,0,0
2026-02-13 15:59:00,1.18748,1.18762,1.18742,1.18744,65,0,0
2026-02-13 16:00:00,1.18743,1.18749,1.18705,1.18705,127,0,0
2026-02-13 16:01:00,1.18705,1.18719,1.18682,1.18713,118,0,0
2026-02-13 16:02:00,1.18711,1.1872099999999999,1.18701,1.18717,65,0,0
2026-02-13 16:03:00,1.18717,1.1873,1.187,1.18705,102,0,0
2026-02-13 16:04:00,1.18705,1.18722,1.18698,1.18712,82,0,0
2026-02-13 16:05:00,1.18712,1.18729,1.18706,1.18724,68,0,0
2026-02-13 16:06:00,1.18719,1.18719,1.18699,1.18708,82,0,0
2026-02-13 16:07:00,1.18708,1.1871,1.18683,1.18689,68,0,0
2026-02-13 16:08:00,1.18687,1.1869,1.18664,1.18667,104,0,0
2026-02-13 16:09:00,1.18668,1.18687,1.18664,1.18686,89,0,0
2026-02-13 16:10:00,1.18686,1.18699,1.18678,1.18699,85,0,0
2026-02-13 16:11:00,1.18699,1.1871800000000001,1.18678,1.18709,105,0,0
2026-02-13 16:12:00,1.18708,1.18719,1.18702,1.1871,57,0,0
2026-02-13 16:13:00,1.1871,1.18717,1.18705,1.18717,38,0,0
2026-02-13 16:14:00,1.18717,1.1872,1.18695,1.187,50,0,0
2026-02-13 16:15:00,1.18701,1.18705,1.18674,1.1868400000000001,84,0,0
2026-02-13 16:16:00,1.18685,1.18695,1.18675,1.18681,69,0,0
2026-02-13 16:17:00,1.18681,1.18692,1.18664,1.18689,73,0,0
